time,Q_orifice,Q_pump,is_downhill,sea_level,storage_level
2013-05-19 22:00:00,0.000000,0.000000,1.000000,0.000000,0.400000
2013-05-19 23:00:00,0.000000,0.000000,1.000000,0.100000,0.418000
2013-05-20 00:00:00,1.669399,0.000000,1.000000,0.200000,0.429990
2013-05-20 01:00:00,3.889316,0.000000,1.000000,0.300000,0.433989
2013-05-20 02:00:00,2.125113,1.204408,1.000000,0.400000,0.440002
2013-05-20 03:00:00,0.000000,6.044425,0.000000,0.500000,0.436242
2013-05-20 04:00:00,0.000000,5.316950,0.000000,0.600000,0.435101
2013-05-20 05:00:00,0.000000,5.061337,0.000000,0.700000,0.434881
2013-05-20 06:00:00,0.000000,5.008735,0.000000,0.800000,0.434849
2013-05-20 07:00:00,0.000000,4.999888,0.000000,0.900000,0.434850
2013-05-20 08:00:00,0.000000,4.999072,0.000000,1.000000,0.434853
2013-05-20 09:00:00,0.000000,5.000901,0.000000,0.900000,0.434850
2013-05-20 10:00:00,0.000000,5.000362,0.000000,0.800000,0.434848
2013-05-20 11:00:00,0.000000,4.992790,0.000000,0.700000,0.434874
2013-05-20 12:00:00,0.000000,4.944605,0.000000,0.600000,0.435074
2013-05-20 13:00:00,0.000000,4.624344,0.000000,0.500000,0.436426
2013-05-20 14:00:00,2.125107,1.881552,1.000000,0.400000,0.440002
2013-05-20 15:00:00,3.975632,1.024427,1.000000,0.300000,0.440002
2013-05-20 16:00:00,5.105242,0.000000,1.000000,0.200000,0.439623
2013-05-20 17:00:00,5.544215,0.000000,1.000000,0.100000,0.437664
2013-05-20 18:00:00,5.286829,0.000000,1.000000,0.000000,0.436631
